D;Delta;env;chi;eng
2;0.258011846473298;BP;1;-208.08868141743525
4;0.06774232325533586;BP;1;-203.98788075736772
8;0.018143798554647865;BP;1;-203.35486458253084
16;0.0033728638792922764;BP;1;-203.27649897814155
32;0.0004634611920440355;BP;1;-203.27252786853973
