D;Delta;env;chi;eng
2;0.40024834039612806;BP;1;-173.79855794214924
8;0.052627641753741676;BP;1;-157.67225602582857
4;0.17023320620562035;BP;1;-163.12142422485044
16;0.006704214209091102;BP;1;-156.42690709352647
32;9.476224192989208e-15;BP;1;-156.38434724009647
2;0.40024834039612806;CTM;2;-173.799023498973
2;0.40024834039612806;CTM;4;-173.7988312624783
2;0.40024834039612806;CTM;8;-173.7988312624783
4;0.17023320620562035;CTM;2;-163.12273920293106
4;0.17023320620562035;CTM;4;-163.12310712568546
4;0.17023320620562035;CTM;8;-163.1229150336751
8;0.052627641753741676;CTM;2;-157.671963765723
8;0.052627641753741676;CTM;4;-157.67136003978618
8;0.052627641753741676;CTM;8;-157.6712536119917
16;0.006704214209091102;CTM;2;-156.42685257710306
16;0.006704214209091102;CTM;4;-156.42684737507503
16;0.006704214209091102;CTM;8;-156.42755487313454
32;9.476224192989208e-15;CTM;2;-156.38417621787494
32;9.476224192989208e-15;CTM;4;-156.38386484815538
32;9.476224192989208e-15;CTM;8;-156.383718488257
