D;Delta;env;chi;eng
2;0.39249048759242006;BP;1;-130.75697115771823
4;0.1677706654538707;BP;1;-124.74911773681428
8;0.05113118006369916;BP;1;-120.8868160839494
16;0.00640712568136415;BP;1;-119.9957588939191
32;9.813618826911493e-15;BP;1;-119.96564897159514
2;0.39249048759242006;CTM;2;-130.75448126008473
2;0.39249048759242006;CTM;4;-130.75424159536556
2;0.39249048759242006;CTM;8;-130.75424159536556
4;0.1677706654538707;CTM;2;-124.74915580148668
4;0.1677706654538707;CTM;4;-124.75097820647457
4;0.1677706654538707;CTM;8;-124.75178973578684
8;0.05113118006369916;CTM;2;-120.88980311170475
8;0.05113118006369916;CTM;4;-120.88953207546164
8;0.05113118006369916;CTM;8;-120.89046335616534
16;0.00640712568136415;CTM;2;-120.00132449920343
16;0.00640712568136415;CTM;4;-120.00179260938167
16;0.00640712568136415;CTM;8;-119.99901527819182
32;9.813618826911493e-15;CTM;2;-119.9710471815153
32;9.813618826911493e-15;CTM;4;-119.97035328146079
32;9.813618826911493e-15;CTM;8;-119.96980224004297
64;9.813618826911493e-15;BP;1;-119.96564897159514
