D;Delta;env;chi;eng
2;0.41997072138155095;BP;1;-174.2559219778139
2;0.41997072138155095;CTM;2;-174.25583422378804
2;0.41997072138155095;MPS;2;-174.26421467120682
2;0.41997072138155095;CTM;4;-174.25567243438988
2;0.41997072138155095;MPS;4;-174.26483450120878
2;0.41997072138155095;CTM;8;-174.25567243438988
2;0.41997072138155095;MPS;8;-174.26483028247844
4;0.25364381913126877;BP;1;-171.56093809533934
4;0.25364381913126877;CTM;2;-171.56035190070858
4;0.25364381913126877;MPS;2;-171.58756052594617
4;0.25364381913126877;CTM;4;-171.56094592479295
4;0.25364381913126877;MPS;4;-171.59346223056158
4;0.25364381913126877;CTM;8;-171.56086911212248
4;0.25364381913126877;MPS;8;-171.58375341242555
8;0.15584959184132943;BP;1;-169.48854649961163
8;0.15584959184132943;CTM;2;-169.4879185775592
8;0.15584959184132943;MPS;2;-169.50248448024203
8;0.15584959184132943;CTM;4;-169.48816607821954
8;0.15584959184132943;MPS;4;-169.51062696957896
8;0.15584959184132943;CTM;8;-169.48962892805773
8;0.15584959184132943;MPS;8;-169.5096823522794
16;0.08506377189188835;BP;1;-167.93844306249932
16;0.08506377189188835;CTM;2;-167.93644689309366
16;0.08506377189188835;MPS;2;-167.9364196866923
16;0.08506377189188835;MPS;4;-167.96682567699673
16;0.08506377189188835;CTM;4;-167.93797462627086
16;0.08506377189188835;MPS;8;-167.96102968604472
32;0.03569993110296441;BP;1;-167.09326643511199
16;0.08506377189188835;CTM;8;-167.9399579006452
32;0.03569993110296441;MPS;2;-167.09273339541704
32;0.03569993110296441;CTM;2;-167.09118968003267
32;0.03569993110296441;MPS;4;-167.11947498253866
32;0.03569993110296441;CTM;4;-167.0922155556221
32;0.03569993110296441;MPS;8;-167.11356898955233
32;0.03569993110296441;CTM;8;-167.09398659787675
64;0.01087860639658034;BP;1;-166.83416076152668
64;0.01087860639658034;BP;1;-166.83416076152668
