D;Delta;env;chi;eng
2;0.45841516706486996;BP;1;-189.49760932984123
4;0.22158640381289407;BP;1;-181.40342575205705
8;0.09760129537495688;BP;1;-176.2353859326175
16;0.030501206359537493;BP;1;-174.15469272984924
32;0.005309602616077459;BP;1;-173.74581904587802
2;0.45841516706486996;CTM;2;-189.49852090611617
2;0.45841516706486996;CTM;4;-189.49836516557133
2;0.45841516706486996;CTM;8;-189.49836516557133
4;0.22158640381289407;CTM;2;-181.40184063707696
4;0.22158640381289407;CTM;4;-181.40283461257553
4;0.22158640381289407;CTM;8;-181.4028836593283
8;0.09760129537495688;CTM;2;-176.23538086220586
8;0.09760129537495688;CTM;4;-176.22879172915486
8;0.09760129537495688;CTM;8;-176.23006786885057
16;0.030501206359537493;CTM;2;-174.15614407273446
16;0.030501206359537493;CTM;4;-174.1508128009244
16;0.030501206359537493;CTM;8;-174.15133053098543
32;0.005309602616077459;CTM;2;-173.74748299871186
32;0.005309602616077459;CTM;4;-173.74315361673655
32;0.005309602616077459;CTM;8;-173.7426385272527
64;0.00038324030731772674;BP;1;-173.72231592121148
