D;Delta;env;chi;eng
2;0.13410603376771832;BP;1;-103.64448584681026
4;8.216368514957596e-16;BP;1;-98.2030190896522
32;8.216368514957596e-16;BP;1;-98.2030190896522
8;8.216368514957596e-16;BP;1;-98.2030190896522
16;8.216368514957596e-16;BP;1;-98.2030190896522
2;0.13410603376771832;CTM;2;-103.64457782193946
2;0.13410603376771832;CTM;4;-103.64455220524206
2;0.13410603376771832;CTM;8;-103.64455220524206
4;8.216368514957596e-16;CTM;2;-98.22927839408153
4;8.216368514957596e-16;CTM;4;-98.22927839408153
4;8.216368514957596e-16;CTM;8;-98.22927839408153
8;8.216368514957596e-16;CTM;2;-98.22927839408153
8;8.216368514957596e-16;CTM;4;-98.22927839408153
8;8.216368514957596e-16;CTM;8;-98.22927839408153
16;8.216368514957596e-16;CTM;2;-98.22927839408153
16;8.216368514957596e-16;CTM;4;-98.22927839408153
16;8.216368514957596e-16;CTM;8;-98.22927839408153
32;8.216368514957596e-16;CTM;2;-98.22927839408153
32;8.216368514957596e-16;CTM;4;-98.22927839408153
32;8.216368514957596e-16;CTM;8;-98.22927839408153
