D;Delta;env;chi;eng
2;0.2144014810653585;BP;1;-155.57767572313182
4;0.08690059466621788;BP;1;-152.70770342482592
8;0.022379954465202474;BP;1;-151.23877853587942
16;0.0016045869460215242;BP;1;-151.00808879625887
32;8.071560833343955e-15;BP;1;-151.00566271139527
