D;Delta;env;chi;eng
2;0.1170886577786303;BP;1;-118.12350780696774
8;8.446598072721451e-16;BP;1;-112.43140442861225
4;8.446598072721451e-16;BP;1;-112.43140442861225
16;8.446598072721451e-16;BP;1;-112.43140442861225
32;8.446598072721451e-16;BP;1;-112.43140442861225
2;0.1170886577786303;CTM;2;-118.12358377887776
2;0.1170886577786303;CTM;4;-118.12349417249197
2;0.1170886577786303;CTM;8;-118.12349417249197
4;8.446598072721451e-16;CTM;2;-112.43469214272282
4;8.446598072721451e-16;CTM;4;-112.43469214272282
4;8.446598072721451e-16;CTM;8;-112.43469214272282
8;8.446598072721451e-16;CTM;2;-112.43469214272282
8;8.446598072721451e-16;CTM;4;-112.43469214272282
8;8.446598072721451e-16;CTM;8;-112.43469214272282
16;8.446598072721451e-16;CTM;2;-112.43469214272282
16;8.446598072721451e-16;CTM;4;-112.43469214272282
16;8.446598072721451e-16;CTM;8;-112.43469214272282
32;8.446598072721451e-16;CTM;2;-112.43469214272282
32;8.446598072721451e-16;CTM;4;-112.43469214272282
32;8.446598072721451e-16;CTM;8;-112.43469214272282
64;8.446598072721451e-16;BP;1;-112.43140442861225
32;8.578402838350395e-16;BP;1;-112.4314044286123
