D;Delta;env;chi;eng
2;0.40082670202945964;BP;1;-181.64484106278553
2;0.40082670202945964;CTM;2;-181.63891004257218
2;0.40082670202945964;MPS;2;-181.63758468314305
2;0.40082670202945964;CTM;4;-181.63859773181267
2;0.40082670202945964;MPS;4;-181.6379524601525
2;0.40082670202945964;CTM;8;-181.63859773181267
2;0.40082670202945964;MPS;8;-181.63795199398595
4;0.24571982505574874;BP;1;-179.56134081640215
4;0.24571982505574874;CTM;2;-179.55789640352606
4;0.24571982505574874;MPS;2;-179.56519623109975
4;0.24571982505574874;CTM;4;-179.5571381243323
4;0.24571982505574874;MPS;4;-179.5522555588514
4;0.24571982505574874;CTM;8;-179.55688808934053
4;0.24571982505574874;MPS;8;-179.55275740078017
8;0.1646312168183763;BP;1;-178.10478398945497
8;0.1646312168183763;MPS;2;-178.10667489531704
8;0.1646312168183763;CTM;2;-178.09419682828192
8;0.1646312168183763;CTM;4;-178.10423992410196
8;0.1646312168183763;MPS;4;-178.09804818585732
8;0.1646312168183763;MPS;8;-178.1026406441401
8;0.1646312168183763;CTM;8;-178.10498241715476
16;0.09963800547667012;BP;1;-176.7558213743838
32;0.04904344416604329;BP;1;-175.81021027447807
16;0.09963800547667012;CTM;2;-176.74029869550904
16;0.09963800547667012;MPS;2;-176.7620469548615
16;0.09963800547667012;CTM;4;-176.7559356715058
16;0.09963800547667012;MPS;4;-176.75546925631707
16;0.09963800547667012;MPS;8;-176.755105580365
16;0.09963800547667012;CTM;8;-176.75895663479392
32;0.04904344416604329;MPS;2;-175.82217895158024
32;0.04904344416604329;CTM;2;-175.79576022816062
32;0.04904344416604329;MPS;4;-175.81875107908846
32;0.04904344416604329;CTM;4;-175.79960507836998
32;0.04904344416604329;MPS;8;-175.8135888485985
32;0.04904344416604329;CTM;8;-175.8050246287679
64;0.01877841685417843;BP;1;-175.40631116839566
