D;Delta;env;chi;eng
2;0.13498825772587783;BP;1;-130.9492933428708
4;8.703515467223652e-16;BP;1;-124.11920302567658
8;8.703515467223652e-16;BP;1;-124.11920302567658
16;8.703515467223652e-16;BP;1;-124.11920302567658
32;8.703515467223652e-16;BP;1;-124.11920302567658
2;0.13498825772587783;CTM;2;-130.9492979160452
2;0.13498825772587783;CTM;4;-130.94930382682713
2;0.13498825772587783;CTM;8;-130.94930382682713
4;8.703515467223652e-16;CTM;2;-124.03568507101139
4;8.703515467223652e-16;CTM;4;-124.03568507101139
4;8.703515467223652e-16;CTM;8;-124.03568507101139
8;8.703515467223652e-16;CTM;2;-124.03568507101139
8;8.703515467223652e-16;CTM;4;-124.03568507101139
8;8.703515467223652e-16;CTM;8;-124.03568507101139
16;8.703515467223652e-16;CTM;2;-124.03568507101139
16;8.703515467223652e-16;CTM;4;-124.03568507101139
16;8.703515467223652e-16;CTM;8;-124.03568507101139
32;8.703515467223652e-16;CTM;2;-124.03568507101139
32;8.703515467223652e-16;CTM;4;-124.03568507101139
32;8.703515467223652e-16;CTM;8;-124.03568507101139
64;8.703515467223652e-16;BP;1;-124.11920302567658
