D;Delta;env;chi;eng
2;0.192697334950012;BP;1;-165.78148065549334
4;0.04764292658805913;BP;1;-158.52243047875103
16;1.6919016571667773e-15;BP;1;-156.92461981432808
8;1.6919016571667773e-15;BP;1;-156.92461981432808
32;1.6919016571667773e-15;BP;1;-156.92461981432808
2;0.192697334950012;CTM;2;-165.7815718001902
2;0.192697334950012;CTM;4;-165.781566691811
2;0.192697334950012;CTM;8;-165.781566691811
4;0.04764292658805913;CTM;2;-158.5224543017027
4;0.04764292658805913;CTM;4;-158.5223851998627
8;1.6919016571667773e-15;CTM;2;-156.90549922902744
4;0.04764292658805913;CTM;8;-158.52247757819995
8;1.6919016571667773e-15;CTM;4;-156.90549920656622
8;1.6919016571667773e-15;CTM;8;-156.90549920656622
16;1.6919016571667773e-15;CTM;2;-156.90549922902744
16;1.6919016571667773e-15;CTM;8;-156.90549920656622
16;1.6919016571667773e-15;CTM;4;-156.90549920656622
32;1.6919016571667773e-15;CTM;2;-156.90549922902744
32;1.6919016571667773e-15;CTM;4;-156.90549920656622
32;1.6919016571667773e-15;CTM;8;-156.90549920656622
