D;Delta;env;chi;eng
2;0.221829398303428;BP;1;-217.84518720888764
4;0.11471768523870117;BP;1;-214.37030446509394
8;0.0417812584405307;BP;1;-211.97445603827362
16;0.006410245843375815;BP;1;-211.24860892712607
32;0.0003823480887504696;BP;1;-211.2170541011451
2;0.221829398303428;CTM;2;-217.8452367094893
2;0.221829398303428;CTM;4;-217.84520637888696
2;0.221829398303428;CTM;8;-217.84520637888696
16;0.006410245843375815;CTM;2;-211.2485765583649
16;0.006410245843375815;CTM;4;-211.24804395287748
16;0.006410245843375815;CTM;8;-211.24803382443469
4;0.11471768523870117;CTM;2;-214.36986451692127
4;0.11471768523870117;CTM;4;-214.3706488961035
4;0.11471768523870117;CTM;8;-214.37078091910365
8;0.0417812584405307;CTM;2;-211.97436824794056
8;0.0417812584405307;CTM;4;-211.97478696524306
8;0.0417812584405307;CTM;8;-211.97498594770275
32;0.0003823480887504696;CTM;2;-211.21683023132107
32;0.0003823480887504696;CTM;4;-211.21659659455207
32;0.0003823480887504696;CTM;8;-211.2164940677788
