D;Delta;env;chi;eng
2;0.14536842694125685;BP;1;-111.70447775649998
4;0.029552109607213314;BP;1;-109.06553471188069
8;2.2032531710596093e-15;BP;1;-108.70135061650925
16;2.2032531710596093e-15;BP;1;-108.70135061650925
32;2.2032531710596093e-15;BP;1;-108.70135061650925
2;0.14536842694125685;CTM;2;-111.70451584730432
2;0.14536842694125685;CTM;4;-111.7045098130962
2;0.14536842694125685;CTM;8;-111.7045098130962
16;2.2032531710596093e-15;CTM;2;-108.68913521353959
16;2.2032531710596093e-15;CTM;4;-108.68913521082541
16;2.2032531710596093e-15;CTM;8;-108.68913521082541
4;0.029552109607213314;CTM;2;-109.06552029931696
4;0.029552109607213314;CTM;4;-109.06562181603111
4;0.029552109607213314;CTM;8;-109.06560688543352
8;2.2032531710596093e-15;CTM;2;-108.68913521353959
8;2.2032531710596093e-15;CTM;4;-108.68913521082541
8;2.2032531710596093e-15;CTM;8;-108.68913521082541
32;2.2032531710596093e-15;CTM;2;-108.68913521353959
32;2.2032531710596093e-15;CTM;4;-108.68913521082541
32;2.2032531710596093e-15;CTM;8;-108.68913521082541
32;2.176523713264213e-15;BP;1;-108.70135061650923
64;2.2032531710596093e-15;BP;1;-108.70135061650925
