D;Delta;env;chi;eng
2;0.14025674968855328;BP;1;-201.30101820035128
4;0.06451317129489811;BP;1;-199.79290608417614
8;0.017961516616040805;BP;1;-198.97061408802622
16;0.0021767347363088854;BP;1;-198.82874338543957
32;9.130709541381462e-05;BP;1;-198.8250655227331
2;0.14025674968855328;CTM;2;-201.30125203332113
2;0.14025674968855328;CTM;4;-201.30132012177688
2;0.14025674968855328;CTM;8;-201.30132012177688
8;0.017961516616040805;CTM;2;-198.97062059755416
8;0.017961516616040805;CTM;4;-198.970597069937
8;0.017961516616040805;CTM;8;-198.97061841900637
16;0.0021767347363088854;CTM;2;-198.8287581487499
16;0.0021767347363088854;CTM;4;-198.82872764837956
4;0.06451317129489811;CTM;2;-199.7926879978895
4;0.06451317129489811;CTM;4;-199.79284619087164
4;0.06451317129489811;CTM;8;-199.792779572811
16;0.0021767347363088854;CTM;8;-198.82867544877007
32;9.130709541381462e-05;CTM;2;-198.8251143370204
32;9.130709541381462e-05;CTM;4;-198.82505302193405
32;9.130709541381462e-05;CTM;8;-198.82508272833988
32;9.130709541377798e-05;BP;1;-198.8250655227348
64;1.0883542802342976e-14;BP;1;-198.82505284652285
