D;Delta;env;chi;eng
2;0.2268072890541746;BP;1;-168.8018621848244
4;0.11059893764328274;BP;1;-166.7031325650009
8;0.04682714794897336;BP;1;-165.5044651199893
16;0.01048302496013509;BP;1;-164.98718333553094
32;0.0011561547790879785;BP;1;-164.93828905116297
2;0.2268072890541746;CTM;2;-168.79925647900413
2;0.2268072890541746;CTM;4;-168.79919969193693
2;0.2268072890541746;CTM;8;-168.79919969193693
4;0.11059893764328274;CTM;2;-166.69781803023716
4;0.11059893764328274;CTM;4;-166.6978927755522
4;0.11059893764328274;CTM;8;-166.6980357580848
16;0.01048302496013509;CTM;2;-164.98655903124927
16;0.01048302496013509;CTM;4;-164.9868874269879
16;0.01048302496013509;CTM;8;-164.98677734547636
32;0.0011561547790879785;CTM;2;-164.9376771930461
8;0.04682714794897336;CTM;2;-165.50321957837133
8;0.04682714794897336;CTM;4;-165.50366394949546
8;0.04682714794897336;CTM;8;-165.50382011042984
32;0.0011561547790879785;CTM;4;-164.9381233087332
32;0.0011561547790879785;CTM;8;-164.9379132569089
