D;Delta;env;chi;eng
2;0.4251197904514833;BP;1;-215.5500968824392
2;0.4251197904514833;CTM;2;-215.55047371638597
2;0.4251197904514833;MPS;2;-215.55162107105556
2;0.4251197904514833;MPS;4;-215.55228236994265
2;0.4251197904514833;CTM;4;-215.5504886195046
2;0.4251197904514833;MPS;8;-215.55228232454016
2;0.4251197904514833;CTM;8;-215.5504886195046
4;0.20548943403117337;BP;1;-210.0419558288356
4;0.20548943403117337;CTM;2;-210.03684715023167
4;0.20548943403117337;MPS;2;-210.03723477338914
4;0.20548943403117337;MPS;4;-210.0335373200472
4;0.20548943403117337;CTM;4;-210.03395752207987
4;0.20548943403117337;MPS;8;-210.0321988611821
4;0.20548943403117337;CTM;8;-210.03315909500137
8;0.10311965787578817;BP;1;-206.9349398745916
8;0.10311965787578817;CTM;2;-206.9328043070134
8;0.10311965787578817;MPS;2;-206.93491186456666
8;0.10311965787578817;CTM;4;-206.9313779922403
8;0.10311965787578817;MPS;4;-206.92980776235748
8;0.10311965787578817;CTM;8;-206.93054245519394
8;0.10311965787578817;MPS;8;-206.93286074013318
16;0.041381063624748846;BP;1;-205.33911346339636
16;0.041381063624748846;MPS;2;-205.33888108913894
16;0.041381063624748846;CTM;2;-205.3353854615759
16;0.041381063624748846;MPS;4;-205.33260224616254
16;0.041381063624748846;CTM;4;-205.33355323598857
16;0.041381063624748846;MPS;8;-205.33141561994364
32;0.010810425067017536;BP;1;-204.83943937003184
16;0.041381063624748846;CTM;8;-205.3335603612232
32;0.010810425067017536;MPS;2;-204.8385844352312
32;0.010810425067017536;CTM;2;-204.83588402469414
32;0.010810425067017536;MPS;4;-204.83347802392834
32;0.010810425067017536;CTM;4;-204.83358804166159
32;0.010810425067017536;MPS;8;-204.83450608662636
32;0.010810425067017536;CTM;8;-204.83396624477572
64;0.0017682596145490931;BP;1;-204.77925661422677
64;0.0017682596145490931;BP;1;-204.77925661422677
