D;Delta;env;chi;eng
8;1.6214612441929266e-15;BP;1;-166.79780496200442
4;0.033852372568527404;BP;1;-167.65844617413828
32;1.6214612441929266e-15;BP;1;-166.79780496200442
16;1.6214612441929266e-15;BP;1;-166.79780496200442
4;0.033852372568527404;MPS;2;-167.65914936413796
8;1.6214612441929266e-15;CTM;2;-166.79780496200453
4;0.033852372568527404;MPS;4;-167.65853978522208
4;0.033852372568527404;CTM;2;-167.65841173395697
4;0.033852372568527404;CTM;4;-167.65839209343895
8;1.6214612441929266e-15;CTM;4;-166.79780496200456
4;0.033852372568527404;CTM;6;-167.6583628097571
32;1.6214612441929266e-15;CTM;2;-166.79780496200453
4;0.033852372568527404;MPS;6;-167.65844646362146
16;1.6214612441929266e-15;CTM;2;-166.79780496200453
8;1.6214612441929266e-15;CTM;6;-166.79780496200453
4;0.033852372568527404;CTM;8;-167.65841351534326
4;0.033852372568527404;MPS;8;-167.6584086780298
8;1.6214612441929266e-15;CTM;8;-166.79780496200453
32;1.6214612441929266e-15;CTM;4;-166.79780496200456
32;1.6214612441929266e-15;CTM;6;-166.79780496200453
16;1.6214612441929266e-15;CTM;4;-166.79780496200456
16;1.6214612441929266e-15;CTM;6;-166.79780496200453
32;1.6214612441929266e-15;CTM;8;-166.79780496200453
16;1.6214612441929266e-15;CTM;8;-166.79780496200453
8;1.6214612441929266e-15;MPS;2;-166.7978142144487
16;1.6214612441929266e-15;MPS;2;-166.7978142144487
32;1.6214612441929266e-15;MPS;2;-166.7978142144487
8;1.6214612441929266e-15;MPS;4;-166.7978074265741
16;1.6214612441929266e-15;MPS;4;-166.7978074265741
32;1.6214612441929266e-15;MPS;4;-166.7978074265741
8;1.6214612441929266e-15;MPS;6;-166.79779026417657
16;1.6214612441929266e-15;MPS;6;-166.79779026417657
32;1.6214612441929266e-15;MPS;6;-166.79779026417657
8;1.6214612441929266e-15;MPS;8;-166.7978022870755
16;1.6214612441929266e-15;MPS;8;-166.7978022870755
32;1.6214612441929266e-15;MPS;8;-166.7978022870755
