D;Delta;env;chi;eng
2;0.16764255217158602;BP;1;-174.12467037562473
4;0.04934058281795867;BP;1;-167.54691053302295
8;1.526377134772826e-15;BP;1;-165.8206129330539
32;1.526377134772826e-15;BP;1;-165.8206129330539
16;1.526377134772826e-15;BP;1;-165.8206129330539
2;0.16764255217158602;CTM;2;-174.12495756375915
2;0.16764255217158602;CTM;4;-174.1249179735249
2;0.16764255217158602;CTM;8;-174.1249179735249
4;0.04934058281795867;CTM;2;-167.54682076071708
4;0.04934058281795867;CTM;4;-167.54690688516
4;0.04934058281795867;CTM;8;-167.54692654253435
8;1.526377134772826e-15;CTM;2;-165.80511629711788
8;1.526377134772826e-15;CTM;4;-165.80511630873335
8;1.526377134772826e-15;CTM;8;-165.80511630873335
16;1.526377134772826e-15;CTM;2;-165.80511629711788
16;1.526377134772826e-15;CTM;4;-165.80511630873335
16;1.526377134772826e-15;CTM;8;-165.80511630873335
32;1.526377134772826e-15;CTM;2;-165.80511629711788
32;1.526377134772826e-15;CTM;4;-165.80511630873335
32;1.526377134772826e-15;CTM;8;-165.80511630873335
32;1.6167616751634442e-15;BP;1;-165.82061293305384
64;1.526377134772826e-15;BP;1;-165.8206129330539
