D;Delta;env;chi;eng
2;0.2292273365512209;BP;1;-243.90615693496048
4;0.08259914906528434;BP;1;-243.7078707261683
8;0.061347263881151054;BP;1;-243.64833866530614
16;0.04844396108483671;BP;1;-243.59530669385336
32;0.03653077372653163;BP;1;-243.53804075510104
4;0.08259914906528434;CTM;2;-243.7078040406155
4;0.08259914906528434;MPS;2;-243.70844009985
4;0.08259914906528434;CTM;4;-243.70794836498465
4;0.08259914906528434;MPS;4;-243.70807164835915
4;0.08259914906528434;CTM;8;-243.7079567405096
4;0.08259914906528434;MPS;8;-243.70804053009388
8;0.061347263881151054;CTM;2;-243.64863831034987
8;0.061347263881151054;MPS;2;-243.64827512044565
8;0.061347263881151054;MPS;4;-243.64562479154628
8;0.061347263881151054;CTM;4;-243.64782718249543
8;0.061347263881151054;MPS;8;-243.64483991964417
8;0.061347263881151054;CTM;8;-243.6476465190171
16;0.04844396108483671;MPS;2;-243.59346351669043
16;0.04844396108483671;CTM;2;-243.59551300619793
16;0.04844396108483671;MPS;4;-243.5883562495361
16;0.04844396108483671;CTM;4;-243.595609099736
16;0.04844396108483671;MPS;8;-243.5937627894008
16;0.04844396108483671;CTM;8;-243.5934531976739
32;0.03653077372653163;MPS;2;-244.00620307911737
32;0.03653077372653163;CTM;2;-243.53880104119347
32;0.03653077372653163;MPS;4;-243.4828283733482
32;0.03653077372653163;CTM;4;-243.53798747783756
64;0.024574330864101473;BP;1;-243.48223798883646
32;0.03653077372653163;MPS;8;-243.52319840371356
