D;Delta;env;chi;eng
2;0.5531506816005326;BP;1;-222.17053034208547
4;0.32854090508699785;BP;1;-216.28870433949567
8;0.20417914351996017;BP;1;-212.5644751522259
16;0.11679898879392286;BP;1;-210.34588367624477
32;0.05630931799921765;BP;1;-209.0965169161239
64;0.022716468457783166;BP;1;-208.61680315067525
8;0.20417914351996017;CTM;2;-212.5654188214489
8;0.20417914351996017;CTM;4;-212.5671669694065
8;0.20417914351996017;CTM;8;-212.56708206744878
32;0.05630931799921765;CTM;2;-209.09495011867162
32;0.05630931799921765;CTM;2;-209.09495011867162
16;0.11679898879392286;CTM;2;-210.34479838340732
16;0.11679898879392286;CTM;2;-210.34479838340732
16;0.11679898879392286;CTM;4;-210.34346716699324
16;0.11679898879392286;CTM;4;-210.34346716699324
16;0.11679898879392286;CTM;8;-210.34477448019078
16;0.11679898879392286;CTM;8;-210.34477448019078
32;0.05630931799921765;CTM;4;-209.0929904576008
32;0.05630931799921765;CTM;4;-209.0929904576008
4;0.32854090508699785;CTM;2;-216.29049649025205
4;0.32854090508699785;CTM;2;-216.29049649025205
4;0.32854090508699785;CTM;4;-216.2891920810474
4;0.32854090508699785;CTM;4;-216.2891920810474
4;0.32854090508699785;CTM;8;-216.2895815963771
4;0.32854090508699785;CTM;8;-216.2895815963771
32;0.05630931799921765;CTM;8;-209.09384946552373
32;0.05630931799921765;CTM;8;-209.09384946552373
